steves-factory-manager;367;;StevesFactoryManager;史蒂夫工厂管理;Steve's Factory Manager;SFM
;369;296193;;神秘管道;Thaumic Pipes;
thaumcraftgates;370;;thaumiumPipe;神秘管道;ThaumcraftGates;
;371;;;神秘合成;Thaumcraft Recipes;
;372;;;玩家死亡掉头;Player Heads;
;373;;;更好的按键控制;Not Enough Keys;
;374;273086;;更深的雪;Snow Deeper;
;375;295007;petbat;宠物蝙蝠;Pet Bat Mod;
;376;241681;;光桥和门;Light Bridges and Doors;
;377;;craftingpillars;合成柱;Crafting Pillar Mod;CPM
ultratech;378;;UltraTech;次元科技;UltraTech;UT
;379;;;高级排斥系统;Advanced Repulsion Systems;ARS
atomicstrykers-infernal-mobs;380;592395;InfernalMobs,infernalmobs;稀有精英怪;AtomicStryker's Infernal Mobs;
applecore;381;808141;AppleCore,applecore;苹果核;AppleCore;
thaumic-energistics;385;791638;thaumicenergistics;神秘能源;Thaumic Energistics;
;386;172867;TofuCraft;豆腐工艺;TofuCraft;
chisel;387;641383;chisel;凿子;Chisel;
nuclearcraft-mod;388;;nuclearcraft;核电工艺;NuclearCraft;NC
opencomputers;389;618383;OpenComputers,OpenComputers|Core,opencomputers,opencomputers|core;开放式电脑;Open Computers;OC
elemental-stones;390;;;元素之石;Elemental Stones;ES
waila-nbt;392;;WailaNBT;万用高亮显示;Waila NBT;
;393;;tcnodetracker;神秘节点追踪;Thaumcraft Node Tracker;
;394;;;箱载世界;Geochests;
;395;;parachutemod;降落伞;Parachute;
gem-buffs-infinite-potion-effects;396;;;宝石效果/增益宝石;Gem Buffs;GB
rftools;397;416167;rftools;RF工具箱;RFTools;
atomicstrykers-magic-yarn;398;;MagicYarn;AtomicStryker的魔法线;AtomicStryker's Magic Yarn;
grimoire-of-gaia;399;679274;GrimoireOfGaia,grimoireofgaia;盖亚魔典3;Grimoire of Gaia 3;GOG3
buildcraft;4;884720;BuildCraft|Core,buildcraftlib,buildcraftcore,buildcraftbuilders,buildcrafttransport,buildcraftsilicon,buildcraftfactory,buildcraftrobotics,buildcraftenergy,BuildMod,kamenridercraft4th,BuildCraft|Energy,BuildCraft|Transport,BuildCraft|Factory,BuildCraft|Silicon,BuildCraft|Builders,BuildCraft|Robotics;建筑;BuildCraft;BC
;400;;OWG;怀旧地形;Old World Gen;OWG
academycraft;402;421967;academy-craft,academy;超能力/学园都市;AcademyCraft;AC
;404;722595;SpiceOfLife,spiceoflife;生活调味料;The Spice of Life;SOL
;405;;;更好的载入界面;Minecraft Loader;
automagy;407;;Automagy;自动化魔法;Automagy;
storage-drawers;408;798307;StorageDrawers,storagedrawers;储物抽屉;Storage Drawers;
wintercraft-gruntpie224;409;;;冬天的世界;Wintercraft;
not-enough-items-1-8;41;389937;NotEnoughItems,nei;NEI物品管理器;Not Enough Items;NEI
;410;441072;FoodCraft;食物工艺;FoodCraft;FC
;411;610367;PaneInTheGlasses;缝合玻璃;Pane In The Glasses;
shincolle;412;420381;shincolle;深海舰队收藏;ShinColle;
;413;;;猫之手;猫の手 ～Hand of Cats～;
;414;398402;UnicodeFontFixer;Unicode字体修复;UnicodeFontFixer;UFF
lanteacraft;415;;LanteaCraft;星际之门;LanteaCraft;
matteroverdrive-17-edition;416;802474;matteroverdrive,mo;超能物质;Matter Overdrive;MO
tainted-magic;417;807351;TaintedMagic;污秽魔法;Tainted Magic;TM
minetweaker3;418;304800;MineTweaker3;MineTweaker 3;;MT
treecapitator;419;;Treecapitator;砍树;Tree Capitator;
;42;120501;TooManyItems;TMI内置修改器;TooManyItems;TMI
insta-house;420;;instahouse;即时建造;Insta House;
;421;142597;MultiPageChest,multipagechest;多页箱子;Multi-Page Chest;MPC
draconic-evolution;423;724610;draconicevolution;龙之进化/龙之研究;Draconic Evolution;DE
galacticraft-add-on-more-planets;424;453885;MorePlanet,moreplanets;更多行星;More Planets;
thermal-foundation;425;;ThermalFoundation,thermalfoundation,thermal;热力基本;Thermal Foundation;TF
;426;463431;colourfulsurvivalmod;多姿多彩的生存;Colourful Survival Mod;
;427;461268;;基岩破坏法杖;Bedrock Breaker;
ding;428;;ding;界面进入提醒;Ding;
ender-utilities;429;;enderutilities;末影设备;Ender Utilities;
;43;83941;InputFix;中文输入修复补丁;Minecraft Language InputFix;
magical-crops;430;440898;magicalcrops,magicalcropsarmour;魔法作物;Magical Crops;
;431;;headcrumbs;更多头颅;Headcrumbs;
ex-astris;432;;exastris;星辉生万物;Ex Astris;EA
xelitez-frostcraft;433;;XEZFrostcraft;冰冻工艺;FrostCraft;
;434;456093;HardcoreEnderExpansion;极限末地生存;Hardcore Ender Expansion;HEE
;435;449666;MFQM;更多流沙;More Fun Quicksand Mod;MFQM
fastcraft;436;343542;FastCraft;快速工艺;FastCraft;
forgeautoshutdown-1-12-2;437;;forgeautoshutdown;Forge Auto Shutdown;;
;438;120571;;行动助手;Movement Assistant;
sao-ui;439;473756;saoui;刀剑神域UI;Sword Art Online UI;SAOUI
;44;71955;;更多语言;MoLanguage;
extratic;440;;ExtraTiC;匠魂扩展;Extra TiC;
dimensional-pockets;441;;dimensionalPockets;四次元口袋;DimensionalPockets;DP
;442;631110;modJ_JBRobot,modJ_JointBlock,modj_jointblock;机器方块;JointBlock;
security-craft;443;774616;securitycraft;安全工艺;Security Craft;SC
buildcraft-additions;444;;bcadditions;建筑扩充;Buildcraft Additions;
;445;;be;基岩工艺;Bedrockium Mod;BE
blocksteps;446;;blocksteps;Blocksteps;;
thaumic-horizons;447;;ThaumicHorizons;神秘视界;Thaumic Horizons;TH
modtweaker;448;;modtweaker2,modtweaker;ModTweaker;;MoT
lootbags;449;720841;enhancedlootbags,lootbags;战利品;Loot Bags;LB
custom-npcs;45;936521;customnpcs,AdvNPCs;自定义NPC;Custom Npcs;
compact-lava-generator;450;522808;CLG;高级地热发电机;Compact Lava Generator;CLG
project-zulu;451;;ProjectZulu|Core;祖鲁;Project Zulu;
;452;180840;;许多生物;LotsOMobs;LOM
chinacraft;453;518660;chinacraft;华夏文明;ChinaCraft;CC
thaumcraft;454;776706;;神秘时代5;Thaumcraft 5;TC5
;455;681514;gregtech;格雷科技6;GregTech 6;GT6
;456;;;更好的开局;Better Beginnings;BB
;457;;;工具怪物;Utility Mobs;
hunger-overhaul;458;785119;hungeroverhaul;饥饿改革;Hunger Overhaul;HO
jei;459;1175372;jei,JEI;JEI物品管理器;Just Enough Items;JEI
millenaire;46;812961;millenaire;千年村庄;Millénaire;
jeiaddons;460;;;JEI Addons;;
magneticraft;461;;Magneticraft,magneticraft;磁场工艺;MagnetiCraft;MAGC
chromaticraft;462;;ChromatiCraft;缤纷纪元;ChromatiCraft;ChC
immersive-engineering;463;450097;ImmersiveEngineering,immersiveengineering;沉浸工程;Immersive Engineering;IE
armourers-workshop;464;382319;armourersWorkshop,armourers_workshop,plushieWrapper;时装工坊;Armourer's Workshop;
;465;320343;plo;植物矿石;Plants To Ores;
slash;466;;;命令强化;Slash;
;467;459404;etfuturum;把未来带回现实;Et Futurum;
cooking-for-blockheads-fabric;468;545680;cookingforblockheads,cookingbook;懒人厨房;Cooking for Blockheads;CB
;469;485184;nstd;不要饿死;No Starve To Death;
clay-soldiers-mod;47;;claysoldiers;粘土士兵;Clay Soldiers Mod;
psi;470;;psi,Psi;Psi;;
good-nights-sleep;471;965322;good_nights_sleep,goodnightsleep;夜眠梦境/晚安的梦境;Good Night's Sleep;GNS
binnies-mods;472;;;Binnie's Mods;;
baubles;473;;Baubles,baubles;饰品栏;Baubles;
;474;;;更多剑;MoreSwords;
;475;;thaumicbases;神秘基础学;Thaumic Bases;TB
essentialcraft-3;476;;essentialcraft;源质魔法3;EssentialCraft 3;EC3
;477;417792;Wa;和风;和風;Wa
hardcore-questing-mode;478;1101667;HardcoreQuesting,hardcorequesting;困难任务;Hardcore Questing Mode;HQM
unidict;479;600649;unidict;矿辞统一;UniDict;UD
mo-creatures;48;836997;mocreatures;更多生物;Mo' Creatures;MOC
thermal-dynamics;480;;ThermalDynamics,thermaldynamics;热动力学;Thermal Dynamics;TD
;481;;;动物学;Zoology;
;482;871764;pmp,plantmegapack;植物世界;Plant Mega Pack;PMP
thaumic-revelations;483;;trevelations;神秘启示录;Thaumic Revelations;
;484;604292;;更多燃料;MoreFuel;
;485;;warpbook;传送书;Warp Book;WB
ex-compressum;486;676165;excompressum;压缩工具;Ex Compressum;
simply-jetpacks;487;;simplyjetpacks;简易喷气背包;Simply Jetpacks;SJ
blood-arsenal;488;958995;BloodArsenal,bloodarsenal;血液兵工厂;Blood Arsenal;
sim-u-kraft;489;;ashjacksimukraftreloaded;模拟城市;Sim-U-Kraft;
;49;291020;pixelmon;精灵宝可梦;Pixelmon;PM
superheroes-unlimited;490;693397;;超级英雄无限;Superheroes Unlimited;SU
oceancraft-mod;491;;Oceancraft;海洋世界;Oceancraft;
;492;;;能源链接;BC-IC2 Crossover;
;493;618763;AencEx,MoreEnchants;更多附魔;More Enchantments;
;494;;WitchingGadgets,WitchingGadgetsCore;巫师宝具;Witching Gadgets;WG
buildcraft-compat;496;;BuildCraft|Compat,buildcraftcompat;建筑兼容;Buildcraft Compat;
extrabotany;497;596279;ExtraBotany,extrabotany;额外植物学;ExtraBotany;EXBOT
botania-unofficial;498;;;植物魔法非官方版;Botania Unoffical;
